song_no,title,album,artist,rank,like
33077590,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),쇼미더머니 9 Episode 1,미란이,1,107179
32872978,Dynamite,Dynamite (DayTime Version),방탄소년단,2,362539
33013877,잠이 오질 않네요,잠이 오질 않네요,장범준,3,86085
32998018,힘든 건 사랑이 아니다,힘든 건 사랑이 아니다,임창정,4,80781
33077234,Life Goes On,BE,방탄소년단,5,157337
32961718,Lovesick Girls,THE ALBUM,BLACKPINK,6,151868
32794652,취기를 빌려 (취향저격 그녀 X 산들),취기를 빌려 (취향저격 그녀 X 산들),산들,7,158251
33061995,밤하늘의 별을(2020),밤하늘의 별을(2020),경서,8,48211
33077591,Freak (Prod. Slom),쇼미더머니 9 Episode 1,릴보이 (lIlBOI),9,40301
3894276,오래된 노래,오래된 노래,스탠딩 에그,10,201352
32962258,Savage Love (Laxed - Siren Beat) (BTS Remix),Savage Love (Laxed - Siren Beat) [BTS Remix],Jawsh 685,11,130067
32978341,DON'T TOUCH ME,DON'T TOUCH ME,환불원정대,12,158254
32871975,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),13,81589
33001672,딩가딩가 (Dingga),딩가딩가 (Dingga),마마무 (Mamamoo),14,49958
32853712,When We Disco (Duet with 선미),When We Disco,박진영,15,67578
32061975,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",항해,AKMU (악동뮤지션),16,325007
14776,All I Want For Christmas Is You,Merry Christmas (Deluxe Anniversary Edition),Mariah Carey,17,148003
32578498,에잇(Prod.&Feat. SUGA of BTS),에잇,아이유,18,331240
33061829,뻔한남자,뻔한남자,이승기,19,31939
33077588,원해 (Feat. 팔로알토) (Prod. 코드 쿤스트),쇼미더머니 9 Episode 1,스윙스,20,24258
32003395,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,멜로가 체질 OST Part 3,장범준,21,270598
33011180,나랑 같이 걸을래 (바른연애 길잡이 X 적재),나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,22,43804
33016659,I CAN’T STOP ME,Eyes wide open,TWICE (트와이스),23,45565
32720013,How You Like That,How You Like That,BLACKPINK,24,164536
32438894,어떻게 지내 (Prod. By VAN.C),어떻게 지내,오반,25,134310
32156286,늦은 밤 너의 집 앞 골목길에서,늦은 밤 너의 집 앞 골목길에서,노을,26,168576
33043504,가을밤에 든 생각,잔나비 소곡집 l,잔나비,27,52829
32559782,Dolphin,NONSTOP,오마이걸 (OH MY GIRL),28,159966
32491274,아로하,슬기로운 의사생활 OST Part 3,조정석,29,205720
32825454,눈누난나 (NUNU NANA),NUNA,제시 (Jessi),30,95643
32725013,마리아 (Maria),María,화사 (Hwa Sa),31,153448
32224272,METEOR,Boyhood,창모 (CHANGMO),32,242606
32183386,Blueming,Love poem,아이유,33,276945
31737197,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),MAP OF THE SOUL : PERSONA,방탄소년단,34,406735
30962526,"모든 날, 모든 순간 (Every day, Every Moment)",`키스 먼저 할까요?` OST Part.3,폴킴,35,352595
32777869,거짓말이라도 해서 널 보고싶어,거짓말이라도 해서 널 보고싶어,백지영,36,49310
32570501,서면역에서,서면역에서,순순희,37,33623
5475060,Santa Tell Me,Santa Tell Me,Ariana Grande,38,165784
33104090,혼술하고 싶은 밤,혼술하고 싶은 밤,벤,39,9140
32808616,홀로,홀로,이하이,40,119018
32055419,Memories,Memories,Maroon 5,41,147483
31979846,Dance Monkey,The Kids Are Coming,Tones And I,42,143273
32525311,사실 나는 (Feat.전건호),사실 나는,경서예지,43,36485
32651098,사랑은 지날수록 더욱 선명하게 남아,한 걸음 : 흔적,전상근,44,53350
30773554,Downtown Baby,Downtown Baby,블루 (BLOO),45,180090
31853557,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),Red Moon : To You My Light,마크툽 (MAKTUB),46,221967
32999763,놓아줘 (with 태연),with HER,Crush,47,46333
33077235,내 방을 여행하는 법,BE,방탄소년단,48,92483
30244931,봄날,YOU NEVER WALK ALONE,방탄소년단,49,516607
32187544,우리 왜 헤어져야 해,우리 왜 헤어져야 해,신예영,50,92540
32378104,마음을 드려요,사랑의 불시착 OST Part 11,아이유,51,181753
33077236,Blue & Grey,BE,방탄소년단,52,93256
33077589,"윈윈 (Feat. 개코, BewhY) (Prod. BewhY)",쇼미더머니 9 Episode 1,허성현 (Rose de Penny),53,20882
31029291,2002,Speak Your Mind (Deluxe),Anne-Marie,54,344471
33002813,"사랑 못해, 남들 쉽게 다 하는 거","사랑 못해, 남들 쉽게 다 하는 거",먼데이 키즈 (Monday Kiz),55,21392
32998020,소확행,힘든 건 사랑이 아니다,임창정,56,25411
32947184,Bad Boy,Bad Boy,청하,57,51070
32559781,살짝 설렜어 (Nonstop),NONSTOP,오마이걸 (OH MY GIRL),58,162418
33016550,너도 아는,너도 아는,폴킴,59,33313
32790516,다시 여기 바닷가,다시 여기 바닷가,"싹쓰리 (유두래곤, 린다G, 비룡)",60,227810
33107653,한 번에 알아본 사랑 (바른연애 길잡이 X 양요섭),한 번에 알아본 사랑 (바른연애 길잡이 X 양요섭),양요섭,61,14329
32614125,사랑하게 될 줄 알았어,슬기로운 의사생활 OST Part 11,전미도,62,128475
32486613,처음처럼,CEREMONIA,엠씨더맥스 (M.C the MAX),63,99050
32996210,행복해,Happy,송하예,64,20079
32137576,Don't Start Now,Future Nostalgia,Dua Lipa,65,125984
31984204,안녕,호텔 델루나 OST Part.10,폴킴,66,181378
32508053,이제 나만 믿어요,내일은 미스터트롯 우승자 특전곡,임영웅,67,103326
33034623,AYA,TRAVEL,마마무 (Mamamoo),68,27334
32906021,별을 담은 시 (Ode To The Stars),Red Moon : Ode To The Stars,마크툽 (MAKTUB),69,31421
31388145,너를 만나,너를 만나,폴킴,70,275108
32313543,아무노래,아무노래,지코 (ZICO),71,250441
33077238,잠시,BE,방탄소년단,72,86124
32399830,ON,MAP OF THE SOUL : 7,방탄소년단,73,253472
32345931,시작,이태원 클라쓰 OST Part.2,가호 (Gaho),74,194004
33115807,"내일이 오면 (Feat. 기리보이, BIG Naughty (서동현))",쇼미더머니 9 Episode 3,릴보이 (lIlBOI),75,19634
31509376,12:45 (Stripped),12:45 (Stripped),Etham,76,97686
32143487,Love poem,Love poem,아이유,77,277585
33067476,Black Mamba,Black Mamba,aespa,78,23990
30717645,Snowman,Everyday Is Christmas (Deluxe),Sia,79,143390
32961716,Pretty Savage,THE ALBUM,BLACKPINK,80,46710
32833393,덤디덤디 (DUMDi DUMDi),덤디덤디 (DUMDi DUMDi),(여자)아이들,81,89303
32122539,Maniac,Maniac,Conan Gray,82,110084
31341518,Paris In The Rain,I met you when I was 18. (the playlist),Lauv,83,235391
33077240,Stay,BE,방탄소년단,84,80998
32889003,Ice Cream (with Selena Gomez),Ice Cream (with Selena Gomez),BLACKPINK,85,71978
32915886,축하해 (Prod. By VAN.C),축하해,오반,86,34985
31703498,시든 꽃에 물을 주듯,시든 꽃에 물을 주듯,HYNN (박혜원),87,178694
32377231,그때 그 아인,이태원 클라쓰 OST Part.6,김필,88,101437
33027247,너의 곁에만 맴돌아,너의 곁에만 맴돌아,노을,89,13938
